complaint_id,year,general_cap_classification,race
15-0236,2015,UNPROFESSIONAL CONDUCT,Other/NA
15-0236,2015,UNPROFESSIONAL CONDUCT,Other/NA
15-0236,2015,UNPROFESSIONAL CONDUCT,Other/NA
15-0236,2015,UNPROFESSIONAL CONDUCT,Other/NA
15-0237,2015,CRIMINAL ALLEGATION,White
15-0237,2015,CRIMINAL ALLEGATION,White
15-0238,2015,VERBAL ABUSE,Other/NA
15-0238,2015,VERBAL ABUSE,Other/NA
15-0239,2015,PHYSICAL ABUSE,Black
15-0239,2015,PHYSICAL ABUSE,Black
15-0240,2015,VERBAL ABUSE,Black
15-0240,2015,VERBAL ABUSE,Black
15-0240,2015,VERBAL ABUSE,Black
15-0240,2015,VERBAL ABUSE,Black
15-0241,2015,LACK OF SERVICE,Other/NA
15-0241,2015,LACK OF SERVICE,Other/NA
15-0241,2015,LACK OF SERVICE,Other/NA
15-0242,2015,NON-INVESTIGATORY INCIDENT,Black
15-0243,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0244,2015,DEPARTMENTAL VIOLATIONS,White
15-0245,2015,UNPROFESSIONAL CONDUCT,White
15-0285,2015,CIVIL RIGHTS COMPLAINT,Black
15-0246,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0246,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0246,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0247,2015,LACK OF SERVICE,Black
15-0248,2015,UNPROFESSIONAL CONDUCT,Other/NA
15-0249,2015,PHYSICAL ABUSE,White
15-0249,2015,PHYSICAL ABUSE,White
15-0250,2015,LACK OF SERVICE,Black
15-0250,2015,LACK OF SERVICE,Black
15-0251,2015,PHYSICAL ABUSE,Black
15-0251,2015,PHYSICAL ABUSE,Black
15-0252,2015,CIVIL RIGHTS COMPLAINT,Black
15-0252,2015,CIVIL RIGHTS COMPLAINT,Black
15-0253,2015,HARASSMENT,White
15-0254,2015,DEPARTMENTAL VIOLATIONS,Black
15-0254,2015,DEPARTMENTAL VIOLATIONS,Black
15-0255,2015,HARASSMENT,White
15-0255,2015,HARASSMENT,White
15-0255,2015,HARASSMENT,White
15-0255,2015,HARASSMENT,White
15-0255,2015,HARASSMENT,White
15-0255,2015,HARASSMENT,White
15-0256,2015,HARASSMENT,White
15-0256,2015,HARASSMENT,White
15-0256,2015,HARASSMENT,White
15-0257,2015,HARASSMENT,White
15-0258,2015,SEXUAL CRIME/MISCONDUCT,White
15-0258,2015,SEXUAL CRIME/MISCONDUCT,White
15-0258,2015,SEXUAL CRIME/MISCONDUCT,White
15-0258,2015,SEXUAL CRIME/MISCONDUCT,White
15-0259,2015,VERBAL ABUSE,Black
15-0259,2015,VERBAL ABUSE,Black
15-0259,2015,VERBAL ABUSE,Black
15-0260,2015,CRIMINAL ALLEGATION,Black
15-0260,2015,CRIMINAL ALLEGATION,Black
15-0260,2015,CRIMINAL ALLEGATION,Black
15-0260,2015,CRIMINAL ALLEGATION,Black
15-0260,2015,CRIMINAL ALLEGATION,Black
15-0261,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0262,2015,DEPARTMENTAL VIOLATIONS,Black
15-0262,2015,DEPARTMENTAL VIOLATIONS,Black
15-0263,2015,VERBAL ABUSE,White
15-0263,2015,VERBAL ABUSE,White
15-0264,2015,PHYSICAL ABUSE,Black
15-0264,2015,PHYSICAL ABUSE,Black
15-0264,2015,PHYSICAL ABUSE,Black
15-0264,2015,PHYSICAL ABUSE,Black
15-0264,2015,PHYSICAL ABUSE,Black
15-0264,2015,PHYSICAL ABUSE,Black
15-0264,2015,PHYSICAL ABUSE,Black
15-0265,2015,DEPARTMENTAL VIOLATIONS,Black
15-0265,2015,DEPARTMENTAL VIOLATIONS,Black
15-0265,2015,DEPARTMENTAL VIOLATIONS,Black
15-0266,2015,HARASSMENT,Black
15-0266,2015,HARASSMENT,Black
15-0267,2015,UNPROFESSIONAL CONDUCT,Black
15-0267,2015,UNPROFESSIONAL CONDUCT,Black
15-0268,2015,PHYSICAL ABUSE,Black
15-0268,2015,PHYSICAL ABUSE,Black
15-0268,2015,PHYSICAL ABUSE,Black
15-0268,2015,PHYSICAL ABUSE,Black
15-0269,2015,VERBAL ABUSE,Black
15-0269,2015,VERBAL ABUSE,Black
15-0270,2015,LACK OF SERVICE,Black
15-0270,2015,LACK OF SERVICE,Black
15-0270,2015,LACK OF SERVICE,Black
15-0271,2015,LACK OF SERVICE,Other/NA
15-0271,2015,LACK OF SERVICE,Other/NA
15-0272,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0273,2015,LACK OF SERVICE,Other/NA
15-0274,2015,PHYSICAL ABUSE,White
15-0275,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0275,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0275,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0275,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0276,2015,DEPARTMENTAL VIOLATIONS,White
15-0277,2015,DEPARTMENTAL VIOLATIONS,Black
15-0277,2015,DEPARTMENTAL VIOLATIONS,Black
15-0278,2015,VERBAL ABUSE,Black
15-0278,2015,VERBAL ABUSE,Black
15-0279,2015,PHYSICAL ABUSE,White
15-0279,2015,PHYSICAL ABUSE,White
15-0280,2015,PHYSICAL ABUSE,Black
15-0280,2015,PHYSICAL ABUSE,Black
15-0280,2015,PHYSICAL ABUSE,Black
15-0282,2015,HARASSMENT,White
15-0283,2015,DOMESTIC,Black
15-0283,2015,DOMESTIC,Black
15-0283,2015,DOMESTIC,Black
15-0283,2015,DOMESTIC,Black
15-0283,2015,DOMESTIC,Black
15-0284,2015,DEPARTMENTAL VIOLATIONS,Black
15-0284,2015,DEPARTMENTAL VIOLATIONS,Black
15-0284,2015,DEPARTMENTAL VIOLATIONS,Black
15-0284,2015,DEPARTMENTAL VIOLATIONS,Black
15-0284,2015,DEPARTMENTAL VIOLATIONS,Black
15-0286,2015,PHYSICAL ABUSE,Black
15-0286,2015,PHYSICAL ABUSE,Black
15-0286,2015,PHYSICAL ABUSE,Black
15-0286,2015,PHYSICAL ABUSE,Black
15-0286,2015,PHYSICAL ABUSE,Black
15-0287,2015,LACK OF SERVICE,White
15-0287,2015,LACK OF SERVICE,White
15-0287,2015,LACK OF SERVICE,White
15-0288,2015,DEPARTMENTAL VIOLATIONS,White
15-0288,2015,DEPARTMENTAL VIOLATIONS,White
15-0288,2015,DEPARTMENTAL VIOLATIONS,White
15-0289,2015,VERBAL ABUSE,White
15-0289,2015,VERBAL ABUSE,White
15-0290,2015,UNPROFESSIONAL CONDUCT,White
15-0290,2015,UNPROFESSIONAL CONDUCT,White
15-0291,2015,PHYSICAL ABUSE,Black
15-0292,2015,LACK OF SERVICE,White
15-0292,2015,LACK OF SERVICE,White
15-0292,2015,LACK OF SERVICE,White
15-0292,2015,LACK OF SERVICE,White
15-0292,2015,LACK OF SERVICE,White
15-0292,2015,LACK OF SERVICE,White
15-0293,2015,PHYSICAL ABUSE,Black
15-0293,2015,PHYSICAL ABUSE,Black
15-0294,2015,LACK OF SERVICE,Other/NA
15-0294,2015,LACK OF SERVICE,Other/NA
15-0295,2015,DEPARTMENTAL VIOLATIONS,Black
15-0296,2015,VERBAL ABUSE,Black
15-0297,2015,PHYSICAL ABUSE,Black
15-0297,2015,PHYSICAL ABUSE,Black
15-0297,2015,PHYSICAL ABUSE,Black
15-0298,2015,DEPARTMENTAL VIOLATIONS,Black
15-0298,2015,DEPARTMENTAL VIOLATIONS,Black
15-0298,2015,DEPARTMENTAL VIOLATIONS,Black
15-0299,2015,DEPARTMENTAL VIOLATIONS,Black
15-0300,2015,PHYSICAL ABUSE,White
15-0301,2015,LACK OF SERVICE,Other/NA
15-0301,2015,LACK OF SERVICE,Other/NA
15-0301,2015,LACK OF SERVICE,Other/NA
15-0301,2015,LACK OF SERVICE,Other/NA
15-0302,2015,PHYSICAL ABUSE,White
15-0303,2015,DEPARTMENTAL VIOLATIONS,Black
15-0304,2015,PHYSICAL ABUSE,Black
15-0304,2015,PHYSICAL ABUSE,Black
15-0304,2015,PHYSICAL ABUSE,Black
15-0304,2015,PHYSICAL ABUSE,Black
15-0304,2015,PHYSICAL ABUSE,Black
15-0304,2015,PHYSICAL ABUSE,Black
15-0305,2015,VERBAL ABUSE,Black
15-0305,2015,VERBAL ABUSE,Black
15-0306,2015,LACK OF SERVICE,Black
15-0307,2015,LACK OF SERVICE,Black
15-0307,2015,LACK OF SERVICE,Black
15-0307,2015,LACK OF SERVICE,Black
15-0307,2015,LACK OF SERVICE,Black
15-0307,2015,LACK OF SERVICE,Black
15-0307,2015,LACK OF SERVICE,Black
15-0308,2015,VERBAL ABUSE,Black
15-0308,2015,VERBAL ABUSE,Black
15-0309,2015,DEPARTMENTAL VIOLATIONS,White
15-0309,2015,DEPARTMENTAL VIOLATIONS,White
15-0309,2015,DEPARTMENTAL VIOLATIONS,White
15-0310,2015,LACK OF SERVICE,White
15-0311,2015,VERBAL ABUSE,Black
15-0311,2015,VERBAL ABUSE,Black
15-0312,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0312,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0314,2015,DEPARTMENTAL VIOLATIONS,Black
15-0314,2015,DEPARTMENTAL VIOLATIONS,Black
15-0315,2015,VERBAL ABUSE,White
15-0315,2015,VERBAL ABUSE,White
15-0316,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0316,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0316,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0317,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0317,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0317,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0318,2015,DEPARTMENTAL VIOLATIONS,Black
15-0318,2015,DEPARTMENTAL VIOLATIONS,Black
15-0319,2015,VERBAL ABUSE,Other/NA
15-0320,2015,LACK OF SERVICE,Black
15-0320,2015,LACK OF SERVICE,Black
15-0321,2015,DEPARTMENTAL VIOLATIONS,Black
15-0322,2015,PHYSICAL ABUSE,Other/NA
15-0322,2015,PHYSICAL ABUSE,Other/NA
15-0323,2015,VERBAL ABUSE,White
15-0324,2015,PHYSICAL ABUSE,Black
15-0324,2015,PHYSICAL ABUSE,Black
15-0324,2015,PHYSICAL ABUSE,Black
15-0324,2015,PHYSICAL ABUSE,Black
15-0324,2015,PHYSICAL ABUSE,Black
15-0324,2015,PHYSICAL ABUSE,Black
15-0324,2015,PHYSICAL ABUSE,Black
15-0324,2015,PHYSICAL ABUSE,Black
15-0324,2015,PHYSICAL ABUSE,Black
15-0324,2015,PHYSICAL ABUSE,Black
15-0324,2015,PHYSICAL ABUSE,Black
15-0324,2015,PHYSICAL ABUSE,Black
15-0324,2015,PHYSICAL ABUSE,Black
15-0324,2015,PHYSICAL ABUSE,Black
15-0325,2015,LACK OF SERVICE,Black
15-0326,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0327,2015,CRIMINAL ALLEGATION,Other/NA
15-0327,2015,CRIMINAL ALLEGATION,Other/NA
15-0328,2015,PHYSICAL ABUSE,Black
15-0328,2015,PHYSICAL ABUSE,Black
15-0328,2015,PHYSICAL ABUSE,Black
15-0328,2015,PHYSICAL ABUSE,Black
15-0329,2015,VERBAL ABUSE,Black
15-0329,2015,VERBAL ABUSE,Black
15-0329,2015,VERBAL ABUSE,Black
15-0331,2015,PHYSICAL ABUSE,White
15-0331,2015,PHYSICAL ABUSE,White
15-0331,2015,PHYSICAL ABUSE,White
15-0331,2015,PHYSICAL ABUSE,White
15-0331,2015,PHYSICAL ABUSE,White
15-0331,2015,PHYSICAL ABUSE,White
15-0331,2015,PHYSICAL ABUSE,White
15-0331,2015,PHYSICAL ABUSE,White
15-0332,2015,LACK OF SERVICE,Other/NA
15-0333,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0333,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0333,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0333,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0333,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0333,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0333,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0333,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0333,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0333,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0333,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0333,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0333,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0333,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0333,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0333,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0333,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0333,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0333,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0333,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0333,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0333,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0334,2015,DEPARTMENTAL VIOLATIONS,Black
15-0335,2015,VERBAL ABUSE,Other/NA
15-0335,2015,VERBAL ABUSE,Other/NA
15-0336,2015,DEPARTMENTAL VIOLATIONS,White
15-0336,2015,DEPARTMENTAL VIOLATIONS,White
15-0337,2015,PHYSICAL ABUSE,White
15-0338,2015,LACK OF SERVICE,Black
15-0339,2015,CRIMINAL ALLEGATION,Black
15-0340,2015,LACK OF SERVICE,Other/NA
15-0341,2015,LACK OF SERVICE,White
15-0342,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0342,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0343,2015,DEPARTMENTAL VIOLATIONS,Black
15-0343,2015,DEPARTMENTAL VIOLATIONS,Black
15-0343,2015,DEPARTMENTAL VIOLATIONS,Black
15-0344,2015,PHYSICAL ABUSE,Black
15-0344,2015,PHYSICAL ABUSE,Black
15-0344,2015,PHYSICAL ABUSE,Black
15-0344,2015,PHYSICAL ABUSE,Black
15-0345,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0346,2015,LACK OF SERVICE,Black
15-0348,2015,NON-INVESTIGATORY INCIDENT,Black
15-0348,2015,NON-INVESTIGATORY INCIDENT,Black
15-0349,2015,PHYSICAL ABUSE,Black
15-0349,2015,PHYSICAL ABUSE,Black
15-0349,2015,PHYSICAL ABUSE,Black
15-0349,2015,PHYSICAL ABUSE,Black
15-0349,2015,PHYSICAL ABUSE,Black
15-0349,2015,PHYSICAL ABUSE,Black
15-0350,2015,PHYSICAL ABUSE,Black
15-0350,2015,PHYSICAL ABUSE,Black
15-0351,2015,DEPARTMENTAL VIOLATIONS,White
15-0351,2015,DEPARTMENTAL VIOLATIONS,White
15-0351,2015,DEPARTMENTAL VIOLATIONS,White
15-0351,2015,DEPARTMENTAL VIOLATIONS,White
15-0351,2015,DEPARTMENTAL VIOLATIONS,White
15-0351,2015,DEPARTMENTAL VIOLATIONS,White
15-0351,2015,DEPARTMENTAL VIOLATIONS,White
15-0351,2015,DEPARTMENTAL VIOLATIONS,White
15-0351,2015,DEPARTMENTAL VIOLATIONS,White
15-0351,2015,DEPARTMENTAL VIOLATIONS,White
15-0351,2015,DEPARTMENTAL VIOLATIONS,White
15-0351,2015,DEPARTMENTAL VIOLATIONS,White
15-0351,2015,DEPARTMENTAL VIOLATIONS,White
15-0351,2015,DEPARTMENTAL VIOLATIONS,White
15-0352,2015,VERBAL ABUSE,Black
15-0353,2015,PHYSICAL ABUSE,Other/NA
15-0353,2015,PHYSICAL ABUSE,Other/NA
15-0353,2015,PHYSICAL ABUSE,Other/NA
15-0353,2015,PHYSICAL ABUSE,Other/NA
15-0354,2015,LACK OF SERVICE,White
15-0355,2015,PHYSICAL ABUSE,Black
15-0355,2015,PHYSICAL ABUSE,Black
15-0355,2015,PHYSICAL ABUSE,Black
15-0355,2015,PHYSICAL ABUSE,Black
15-0355,2015,PHYSICAL ABUSE,Black
15-0355,2015,PHYSICAL ABUSE,Black
15-0356,2015,HARASSMENT,Black
15-0357,2015,VERBAL ABUSE,White
15-0358,2015,CRIMINAL ALLEGATION,Black
15-0359,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0360,2015,VERBAL ABUSE,Black
15-0360,2015,VERBAL ABUSE,Black
15-0361,2015,PHYSICAL ABUSE,Other/NA
15-0361,2015,PHYSICAL ABUSE,Other/NA
15-0362,2015,DEPARTMENTAL VIOLATIONS,White
15-0362,2015,DEPARTMENTAL VIOLATIONS,White
15-0363,2015,HARASSMENT,White
15-0363,2015,HARASSMENT,White
15-0364,2015,HARASSMENT,Black
15-0365,2015,LACK OF SERVICE,Black
15-0366,2015,LACK OF SERVICE,White
15-0366,2015,LACK OF SERVICE,White
15-0366,2015,LACK OF SERVICE,White
15-0366,2015,LACK OF SERVICE,White
15-0367,2015,DEPARTMENTAL VIOLATIONS,Black
15-0367,2015,DEPARTMENTAL VIOLATIONS,Black
15-0368,2015,LACK OF SERVICE,Black
15-0368,2015,LACK OF SERVICE,Black
15-0369,2015,LACK OF SERVICE,Black
15-0369,2015,LACK OF SERVICE,Black
15-0370,2015,PHYSICAL ABUSE,Black
15-0370,2015,PHYSICAL ABUSE,Black
15-0370,2015,PHYSICAL ABUSE,Black
15-0370,2015,PHYSICAL ABUSE,Black
15-0370,2015,PHYSICAL ABUSE,Black
15-0370,2015,PHYSICAL ABUSE,Black
15-0371,2015,DEPARTMENTAL VIOLATIONS,White
15-0371,2015,DEPARTMENTAL VIOLATIONS,White
15-0372,2015,DEPARTMENTAL VIOLATIONS,Black
15-0372,2015,DEPARTMENTAL VIOLATIONS,Black
15-0373,2015,PHYSICAL ABUSE,Black
15-0373,2015,PHYSICAL ABUSE,Black
15-0374,2015,UNPROFESSIONAL CONDUCT,Other/NA
15-0375,2015,DEPARTMENTAL VIOLATIONS,Black
15-0375,2015,DEPARTMENTAL VIOLATIONS,Black
15-0376,2015,LACK OF SERVICE,White
15-0377,2015,LACK OF SERVICE,White
15-0378,2015,DEPARTMENTAL VIOLATIONS,Black
15-0379,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0379,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0379,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0380,2015,DEPARTMENTAL VIOLATIONS,Black
15-0380,2015,DEPARTMENTAL VIOLATIONS,Black
15-0381,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0382,2015,VERBAL ABUSE,White
15-0383,2015,DEPARTMENTAL VIOLATIONS,Black
15-0384,2015,PHYSICAL ABUSE,Black
15-0384,2015,PHYSICAL ABUSE,Black
15-0385,2015,DEPARTMENTAL VIOLATIONS,Black
15-0386,2015,DEPARTMENTAL VIOLATIONS,Black
15-0386,2015,DEPARTMENTAL VIOLATIONS,Black
15-0387,2015,DEPARTMENTAL VIOLATIONS,Black
15-0387,2015,DEPARTMENTAL VIOLATIONS,Black
15-0388,2015,LACK OF SERVICE,Black
15-0388,2015,LACK OF SERVICE,Black
15-0388,2015,LACK OF SERVICE,Black
15-0389,2015,LACK OF SERVICE,White
15-0390,2015,VERBAL ABUSE,Black
15-0390,2015,VERBAL ABUSE,Black
15-0390,2015,VERBAL ABUSE,Black
15-0390,2015,VERBAL ABUSE,Black
15-0391,2015,LACK OF SERVICE,Other/NA
15-0391,2015,LACK OF SERVICE,Other/NA
15-0391,2015,LACK OF SERVICE,Other/NA
15-0392,2015,PHYSICAL ABUSE,Other/NA
15-0392,2015,PHYSICAL ABUSE,Other/NA
15-0393,2015,PHYSICAL ABUSE,Black
15-0394,2015,CRIMINAL ALLEGATION,White
15-0395,2015,LACK OF SERVICE,Other/NA
15-0396,2015,LACK OF SERVICE,Black
15-0397,2015,DOMESTIC,Black
15-0397,2015,DOMESTIC,Black
15-0397,2015,DOMESTIC,Black
15-0397,2015,DOMESTIC,Black
15-0398,2015,LACK OF SERVICE,Black
15-0399,2015,NON-INVESTIGATORY INCIDENT,Black
15-0400,2015,LACK OF SERVICE,Black
15-0400,2015,LACK OF SERVICE,Black
15-0400,2015,LACK OF SERVICE,Black
15-0400,2015,LACK OF SERVICE,Black
15-0401,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0402,2015,UNPROFESSIONAL CONDUCT,Black
15-0403,2015,LACK OF SERVICE,White
15-0404,2015,PHYSICAL ABUSE,Other/NA
15-0404,2015,PHYSICAL ABUSE,Other/NA
15-0404,2015,PHYSICAL ABUSE,Other/NA
15-0405,2015,VERBAL ABUSE,Black
15-0405,2015,VERBAL ABUSE,Black
15-0405,2015,VERBAL ABUSE,Black
15-0406,2015,DEPARTMENTAL VIOLATIONS,Black
15-0406,2015,DEPARTMENTAL VIOLATIONS,Black
15-0406,2015,DEPARTMENTAL VIOLATIONS,Black
15-0406,2015,DEPARTMENTAL VIOLATIONS,Black
15-0407,2015,PHYSICAL ABUSE,Black
15-0407,2015,PHYSICAL ABUSE,Black
15-0408,2015,DOMESTIC,Black
15-0409,2015,UNPROFESSIONAL CONDUCT,White
15-0410,2015,HARASSMENT,Black
15-0411,2015,LACK OF SERVICE,Black
15-0412,2015,LACK OF SERVICE,White
15-0413,2015,DEPARTMENTAL VIOLATIONS,White
15-0414,2015,UNPROFESSIONAL CONDUCT,White
15-0414,2015,UNPROFESSIONAL CONDUCT,White
15-0415,2015,VERBAL ABUSE,Other/NA
15-0416,2015,PHYSICAL ABUSE,Other/NA
15-0416,2015,PHYSICAL ABUSE,Other/NA
15-0417,2015,LACK OF SERVICE,Other/NA
15-0417,2015,LACK OF SERVICE,Other/NA
15-0418,2015,LACK OF SERVICE,Other/NA
15-0418,2015,LACK OF SERVICE,Other/NA
15-0419,2015,DEPARTMENTAL VIOLATIONS,White
15-0419,2015,DEPARTMENTAL VIOLATIONS,White
15-0419,2015,DEPARTMENTAL VIOLATIONS,White
15-0420,2015,UNPROFESSIONAL CONDUCT,Other/NA
15-0421,2015,DEPARTMENTAL VIOLATIONS,White
15-0422,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0422,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0423,2015,UNPROFESSIONAL CONDUCT,Other/NA
15-0424,2015,VERBAL ABUSE,White
15-0425,2015,UNPROFESSIONAL CONDUCT,White
15-0425,2015,UNPROFESSIONAL CONDUCT,White
15-0426,2015,LACK OF SERVICE,White
15-0426,2015,LACK OF SERVICE,White
15-0427,2015,LACK OF SERVICE,White
15-0428,2015,LACK OF SERVICE,Black
15-0429,2015,UNPROFESSIONAL CONDUCT,Black
15-0429,2015,UNPROFESSIONAL CONDUCT,Black
15-0430,2015,HARASSMENT,Other/NA
15-0430,2015,HARASSMENT,Other/NA
15-0431,2015,LACK OF SERVICE,White
15-0432,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0432,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0432,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0433,2015,LACK OF SERVICE,Black
15-0433,2015,LACK OF SERVICE,Black
15-0434,2015,VERBAL ABUSE,Black
15-0435,2015,LACK OF SERVICE,White
15-0435,2015,LACK OF SERVICE,White
15-0436,2015,HARASSMENT,Black
15-0437,2015,HARASSMENT,White
15-0438,2015,HARASSMENT,Black
15-0439,2015,LACK OF SERVICE,Black
15-0440,2015,LACK OF SERVICE,Black
15-0440,2015,LACK OF SERVICE,Black
15-0441,2015,NON-INVESTIGATORY INCIDENT,Black
15-0442,2015,NON-INVESTIGATORY INCIDENT,Black
15-0443,2015,NON-INVESTIGATORY INCIDENT,Black
15-0444,2015,VERBAL ABUSE,Black
15-0444,2015,VERBAL ABUSE,Black
15-0445,2015,PHYSICAL ABUSE,Black
15-0446,2015,LACK OF SERVICE,Black
15-0446,2015,LACK OF SERVICE,Black
15-0447,2015,DEPARTMENTAL VIOLATIONS,Black
